Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Plano,"-8,38540782137692","-17,8815394750934","0,154428901029084",0,0,0,"105645,565151975","4345955,21245055","-517599,704326117","3,39668009280715E-11","3034038,417064","2,65756986578557E-10","7377512,10802731",0,0,0,0,0,0,package://Plano_completo/meshes/Plano.STL,1,1,1,1,0,0,0,0,0,0,package://Plano_completo/meshes/Plano.STL,,PLANO_POSGRADO_Corregido_piso-1;PLANO_POSGRADO_Corregido_piso_2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Paredes,"-8,33486592764714","1,62","17,2787605001807",0,0,0,"106998,234725186","1884398,41780361","1,10860414618147E-10","-46224,2076186341","2975088,2144271","1,74430919699401E-10","1251187,14871118",0,0,0,0,0,0,package://Plano_completo/meshes/Paredes.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Plano_completo/meshes/Paredes.STL,,PLANO_POSGRADO_Corregido_paredes-1,Origin_paredes2,Axis_paredes,paredes,fixed,0,0,0,"1,5707963267949",0,0,Plano,0,0,0,,,,,,,,,,,,
Mural,"-8,91337374680909","1,62","20,732539789078",0,0,0,"5471,98532264628","4114,24896446467","-4,16853669587957E-13","1,78227682181781E-13","67436,431005008","-1,12502298066905E-14","71530,1600245127",0,0,0,0,0,0,package://Plano_completo/meshes/Mural.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Plano_completo/meshes/Mural.STL,,PLANO_POSGRADO_Corregido_mural-5,Origin_mural,Axis_mural,mural,fixed,0,0,0,"1,5707963267949",0,0,Plano,0,0,0,,,,,,,,,,,,
