Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Plano,"-8,38540782137692","-17,8815394750934","0,154428901029084",0,0,0,"105645,565151975","4345955,21245055","-517599,704326117","3,39690702689487E-11","3034038,417064","2,65740069840661E-10","7377512,10802731",0,0,0,0,0,0,package://Plano_obstaculos/meshes/Plano.STL,1,1,1,1,0,0,0,0,0,0,package://Plano_obstaculos/meshes/Plano.STL,,PLANO_POSGRADO_Corregido_piso-1;PLANO_POSGRADO_Corregido_piso_2-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Paredes,"-8,33486592764714","1,62","17,2787605001807",0,0,0,"106998,234725186","1884398,41780361","8,90828232618565E-11","-46224,2076186336","2975088,21442711","1,65001071170947E-10","1251187,14871118",0,0,0,0,0,0,package://Plano_obstaculos/meshes/Paredes.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Plano_obstaculos/meshes/Paredes.STL,,PLANO_POSGRADO_Corregido_paredes-1,Origin_paredes2,Axis_paredes,paredes,fixed,0,0,0,"1,5707963267949",0,0,Plano,0,0,0,,,,,,,,,,,,
Mural,"-8,91337374680909","1,62","20,732539789078",0,0,0,"5471,98532264628","4114,24896446467","-4,16853669587957E-13","1,78227682181781E-13","67436,431005008","-1,12502298066905E-14","71530,1600245127",0,0,0,0,0,0,package://Plano_obstaculos/meshes/Mural.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://Plano_obstaculos/meshes/Mural.STL,,PLANO_POSGRADO_Corregido_mural-5,Origin_mural,Axis_mural,mural,fixed,0,0,0,"1,5707963267949",0,0,Plano,0,0,0,,,,,,,,,,,,
Escritorios,"-10,7074189096146","0,474076989648717","-8,1646668880547",0,0,0,"3550,76795756857","657,620070679481","-0,0224136843097943","-47,9494436861657","1117,13974257674","-0,113062286977396","898,949924210325",0,0,0,0,0,0,package://Plano_obstaculos/meshes/Escritorios.STL,"0,501960784313725","0,501960784313725","0,501960784313725",1,0,0,0,0,0,0,package://Plano_obstaculos/meshes/Escritorios.STL,,Ensamblaje2-8/escritorio-8/desk-2;Ensamblaje2-8/escritorio-3/desk-2;Ensamblaje2-8/escritorio-2/desk-2;Ensamblaje2-8/escritorio-1/desk-2;Ensamblaje2-8/escritorio-4/desk-2;Ensamblaje2-8/escritorio-7/desk-2;Ensamblaje9-5/desk-2;Ensamblaje1^Plano_obstaculos-7/escritorio-1/desk-2;Ensamblaje1^Plano_obstaculos-7/escritorio-2/desk-2;Ensamblaje1^Plano_obstaculos-6/escritorio-1/desk-2;Ensamblaje1^Plano_obstaculos-6/escritorio-2/desk-2;Ensamblaje1^Plano_obstaculos-8/escritorio-1/desk-2;Ensamblaje1^Plano_obstaculos-8/escritorio-2/desk-2;Ensamblaje1^Plano_obstaculos-9/escritorio-1/desk-2;Ensamblaje1^Plano_obstaculos-9/escritorio-2/desk-2;Ensamblaje1^Plano_obstaculos-10/escritorio-1/desk-2;Ensamblaje1^Plano_obstaculos-10/escritorio-2/desk-2;Ensamblaje2-13/escritorio-1/desk-2;Ensamblaje2-13/escritorio-2/desk-2;Ensamblaje2-13/escritorio-4/desk-2;Ensamblaje2-13/escritorio-3/desk-2;Ensamblaje2-13/escritorio-7/desk-2;Ensamblaje2-13/escritorio-8/desk-2;Ensamblaje2-12/escritorio-2/desk-2;Ensamblaje2-12/escritorio-1/desk-2;Ensamblaje2-12/escritorio-4/desk-2;Ensamblaje2-12/escritorio-3/desk-2;Ensamblaje2-12/escritorio-8/desk-2;Ensamblaje2-12/escritorio-7/desk-2;Ensamblaje3-8/escritorio-2/desk-2;Ensamblaje3-8/escritorio-3/desk-2;Ensamblaje3-8/escritorio-8/desk-2;Ensamblaje3-8/escritorio-6/desk-2;Ensamblaje3-8/escritorio-5/desk-2;Ensamblaje3-8/escritorio-7/desk-2;Ensamblaje3-8/escritorio-4/desk-2;Ensamblaje3-8/escritorio-1/desk-2;Ensamblaje2-9/escritorio-1/desk-2;Ensamblaje2-9/escritorio-2/desk-2;Ensamblaje2-9/escritorio-3/desk-2;Ensamblaje2-9/escritorio-4/desk-2;Ensamblaje2-9/escritorio-7/desk-2;Ensamblaje2-9/escritorio-8/desk-2;Ensamblaje2-10/escritorio-1/desk-2;Ensamblaje2-10/escritorio-2/desk-2;Ensamblaje2-10/escritorio-3/desk-2;Ensamblaje2-10/escritorio-4/desk-2;Ensamblaje2-10/escritorio-7/desk-2;Ensamblaje2-10/escritorio-8/desk-2;Ensamblaje2-11/escritorio-1/desk-2;Ensamblaje2-11/escritorio-2/desk-2;Ensamblaje2-11/escritorio-3/desk-2;Ensamblaje2-11/escritorio-4/desk-2;Ensamblaje2-11/escritorio-7/desk-2;Ensamblaje2-11/escritorio-8/desk-2;Ensamblaje9-3/desk-2;Ensamblaje9-2/desk-2;Ensamblaje9-1/desk-2,Origin_escritorios,Axis_escritorios,escritorios,fixed,"-12,5447567464246","-4,40841503831656","0,120000000000005","1,5707963267949",0,"2,55419064663925",Plano,0,0,0,,,,,,,,,,,,
Botes,"-10,2024121833613","0,221862551470592","-2,46960992224205",0,0,0,"153,926715683122","2,74181939798814","-3,14343449358211E-15","0,0352710984864872","1,75944101800951","-1,55747709055953E-14","2,4648494899137",0,0,0,0,0,0,package://Plano_obstaculos/meshes/Botes.STL,1,1,1,1,0,0,0,0,0,0,package://Plano_obstaculos/meshes/Botes.STL,,Ensamblaje3-8/bote_basura-1;Ensamblaje2-12/bote_basura-1;Ensamblaje2-13/bote_basura-1;Ensamblaje2-8/bote_basura-1;Ensamblaje2-9/bote_basura-1;Ensamblaje2-10/bote_basura-1;Ensamblaje2-11/bote_basura-1,Origin_botes,Axis_botes,botes,fixed,"-17,9717798005568","-26,1510874426371","0,120000000000002","1,5707963267949",0,"-2,15819833374566",Plano,0,0,0,,,,,,,,,,,,
Sillas,"-0,00737317606571875","0,437725988586923","-11,5805190744385",0,0,0,"1450,46121787082","90,3015487054739","-1,18425607070415","-0,0547897409667648","81,7015687320994","-4,96253730009243","90,7106343159438",0,0,0,0,0,0,package://Plano_obstaculos/meshes/Sillas.STL,"0,250980392156863","0,250980392156863","0,250980392156863",1,0,0,0,0,0,0,package://Plano_obstaculos/meshes/Sillas.STL,,Ensamblaje9-1/silla_2-1;Ensamblaje9-2/silla_2-1;Ensamblaje9-3/silla_2-1;Ensamblaje3-8/escritorio-5/silla_2-2;Ensamblaje3-8/escritorio-5/silla_2-1;Ensamblaje3-8/escritorio-6/silla_2-1;Ensamblaje3-8/escritorio-6/silla_2-2;Ensamblaje3-8/escritorio-8/silla_2-1;Ensamblaje3-8/escritorio-8/silla_2-2;Ensamblaje3-8/escritorio-2/silla_2-2;Ensamblaje3-8/escritorio-2/silla_2-1;Ensamblaje3-8/escritorio-3/silla_2-1;Ensamblaje3-8/escritorio-3/silla_2-2;Ensamblaje3-8/escritorio-7/silla_2-2;Ensamblaje3-8/escritorio-7/silla_2-1;Ensamblaje3-8/escritorio-4/silla_2-1;Ensamblaje3-8/escritorio-4/silla_2-2;Ensamblaje3-8/escritorio-1/silla_2-1;Ensamblaje3-8/escritorio-1/silla_2-2;Ensamblaje2-12/escritorio-7/silla_2-2;Ensamblaje2-12/escritorio-7/silla_2-1;Ensamblaje2-12/escritorio-8/silla_2-1;Ensamblaje2-12/escritorio-8/silla_2-2;Ensamblaje2-12/escritorio-3/silla_2-1;Ensamblaje2-12/escritorio-3/silla_2-2;Ensamblaje2-12/escritorio-4/silla_2-2;Ensamblaje2-12/escritorio-4/silla_2-1;Ensamblaje2-12/escritorio-1/silla_2-1;Ensamblaje2-12/escritorio-1/silla_2-2;Ensamblaje2-12/escritorio-2/silla_2-1;Ensamblaje2-12/escritorio-2/silla_2-2;Ensamblaje2-13/escritorio-7/silla_2-1;Ensamblaje2-13/escritorio-7/silla_2-2;Ensamblaje2-13/escritorio-8/silla_2-1;Ensamblaje2-13/escritorio-8/silla_2-2;Ensamblaje2-13/escritorio-3/silla_2-1;Ensamblaje2-13/escritorio-3/silla_2-2;Ensamblaje2-13/escritorio-4/silla_2-2;Ensamblaje2-13/escritorio-4/silla_2-1;Ensamblaje2-13/escritorio-1/silla_2-1;Ensamblaje2-13/escritorio-1/silla_2-2;Ensamblaje2-13/escritorio-2/silla_2-1;Ensamblaje2-13/escritorio-2/silla_2-2;Ensamblaje2-8/escritorio-8/silla_2-2;Ensamblaje2-8/escritorio-3/silla_2-2;Ensamblaje2-8/escritorio-2/silla_2-2;Ensamblaje2-8/escritorio-2/silla_2-1;Ensamblaje2-8/escritorio-3/silla_2-1;Ensamblaje2-8/escritorio-8/silla_2-1;Ensamblaje2-8/escritorio-7/silla_2-2;Ensamblaje2-8/escritorio-7/silla_2-1;Ensamblaje2-8/escritorio-4/silla_2-2;Ensamblaje2-8/escritorio-4/silla_2-1;Ensamblaje2-8/escritorio-1/silla_2-2;Ensamblaje2-8/escritorio-1/silla_2-1;Ensamblaje9-5/silla_2-1;Ensamblaje1^Plano_obstaculos-10/escritorio-2/silla_2-2;Ensamblaje1^Plano_obstaculos-10/escritorio-2/silla_2-1;Ensamblaje1^Plano_obstaculos-10/escritorio-1/silla_2-2;Ensamblaje1^Plano_obstaculos-10/escritorio-1/silla_2-1;Ensamblaje1^Plano_obstaculos-7/escritorio-1/silla_2-1;Ensamblaje1^Plano_obstaculos-7/escritorio-1/silla_2-2;Ensamblaje1^Plano_obstaculos-7/escritorio-2/silla_2-1;Ensamblaje1^Plano_obstaculos-7/escritorio-2/silla_2-2;Ensamblaje1^Plano_obstaculos-6/escritorio-1/silla_2-1;Ensamblaje1^Plano_obstaculos-6/escritorio-1/silla_2-2;Ensamblaje1^Plano_obstaculos-6/escritorio-2/silla_2-1;Ensamblaje1^Plano_obstaculos-6/escritorio-2/silla_2-2;Ensamblaje1^Plano_obstaculos-9/escritorio-2/silla_2-2;Ensamblaje1^Plano_obstaculos-9/escritorio-2/silla_2-1;Ensamblaje1^Plano_obstaculos-9/escritorio-1/silla_2-2;Ensamblaje1^Plano_obstaculos-9/escritorio-1/silla_2-1;Ensamblaje1^Plano_obstaculos-8/escritorio-2/silla_2-2;Ensamblaje1^Plano_obstaculos-8/escritorio-2/silla_2-1;Ensamblaje1^Plano_obstaculos-8/escritorio-1/silla_2-2;Ensamblaje1^Plano_obstaculos-8/escritorio-1/silla_2-1;Ensamblaje2-9/escritorio-1/silla_2-1;Ensamblaje2-9/escritorio-1/silla_2-2;Ensamblaje2-9/escritorio-2/silla_2-1;Ensamblaje2-9/escritorio-2/silla_2-2;Ensamblaje2-9/escritorio-3/silla_2-2;Ensamblaje2-9/escritorio-3/silla_2-1;Ensamblaje2-9/escritorio-4/silla_2-2;Ensamblaje2-9/escritorio-4/silla_2-1;Ensamblaje2-9/escritorio-7/silla_2-1;Ensamblaje2-9/escritorio-7/silla_2-2;Ensamblaje2-9/escritorio-8/silla_2-1;Ensamblaje2-9/escritorio-8/silla_2-2;Ensamblaje2-10/escritorio-7/silla_2-2;Ensamblaje2-10/escritorio-7/silla_2-1;Ensamblaje2-10/escritorio-4/silla_2-1;Ensamblaje2-10/escritorio-1/silla_2-1;Ensamblaje2-10/escritorio-1/silla_2-2;Ensamblaje2-10/escritorio-4/silla_2-2;Ensamblaje2-10/escritorio-8/silla_2-1;Ensamblaje2-10/escritorio-8/silla_2-2;Ensamblaje2-10/escritorio-2/silla_2-1;Ensamblaje2-10/escritorio-2/silla_2-2;Ensamblaje2-10/escritorio-3/silla_2-2;Ensamblaje2-10/escritorio-3/silla_2-1;Ensamblaje2-11/escritorio-8/silla_2-1;Ensamblaje2-11/escritorio-8/silla_2-2;Ensamblaje2-11/escritorio-7/silla_2-2;Ensamblaje2-11/escritorio-7/silla_2-1;Ensamblaje2-11/escritorio-4/silla_2-1;Ensamblaje2-11/escritorio-4/silla_2-2;Ensamblaje2-11/escritorio-1/silla_2-2;Ensamblaje2-11/escritorio-1/silla_2-1;Ensamblaje2-11/escritorio-2/silla_2-1;Ensamblaje2-11/escritorio-2/silla_2-2;Ensamblaje2-11/escritorio-3/silla_2-2;Ensamblaje2-11/escritorio-3/silla_2-1,Origin_sillas,Axis_sillas,sillas,fixed,"-14,6394745785491","-26,5367427727246","0,120000000000002","1,5707963267949",0,"-0,602403534081331",Plano,0,0,0,,,,,,,,,,,,
